Datetime,Day,Image filename,Location,Purpose,Cluster
2019-02-06 15:37:16,wednesday,week/img (180).jpg,Founders Memorial Library,study,3.0
2019-02-06 15:41:59,wednesday,week/img (181).jpg,Founders Memorial Library,study,3.0
2019-02-06 15:46:59,wednesday,week/img (182).jpg,Founders Memorial Library,study,3.0
2019-02-06 15:50:58,wednesday,week/img (183).jpg,Founders Memorial Library,study,3.0
2019-02-06 15:54:59,wednesday,week/img (184).jpg,Founders Memorial Library,study,3.0
2019-02-06 15:59:43,wednesday,week/img (185).jpg,Founders Memorial Library,study,3.0
2019-02-06 16:15:28,wednesday,week/img (186).jpg,Founders Memorial Library,study,3.0
2019-02-06 16:19:44,wednesday,week/img (187).jpg,Founders Memorial Library,study,3.0
2019-02-06 16:24:21,wednesday,week/img (188).jpg,Founders Memorial Library,study,3.0
2019-02-06 16:29:43,wednesday,week/img (189).jpg,Founders Memorial Library,study,3.0
2019-02-06 16:31:59,wednesday,week/img (190).jpg,Founders Memorial Library,study,3.0
2019-02-06 16:34:38,wednesday,week/img (191).jpg,Founders Memorial Library,study,3.0
2019-02-06 16:40:08,wednesday,week/img (192).jpg,Founders Memorial Library,study,3.0
2019-02-06 16:42:55,wednesday,week/img (193).jpg,Founders Memorial Library,study,3.0
2019-02-06 16:48:33,wednesday,week/img (194).jpg,Founders Memorial Library,study,3.0
2019-02-06 16:50:40,wednesday,week/img (195).jpg,Founders Memorial Library,study,4.0
2019-02-06 16:53:56,wednesday,week/img (196).jpg,Founders Memorial Library,study,5.0
2019-02-06 16:57:10,wednesday,week/img (197).jpg,CSCI Building,Attending CSCI 627,2.0
2019-02-06 16:59:24,wednesday,week/img (198).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-06 17:01:33,wednesday,week/img (199).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-06 17:05:07,wednesday,week/img (200).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-06 17:09:11,wednesday,week/img (201).jpg,CSCI Building,Attending CSCI 627,4.0
2019-02-06 17:12:23,wednesday,week/img (202).jpg,CSCI Building,Attending CSCI 627,4.0
